Title,Description,Img_Link
Darna,"When fragments of a green crystal scatter in the city and turn people into destructive monsters, Narda embraces her destiny as Darna—the mighty protector of the powerful stone from Planet Marte.",https://www.themoviedb.org/t/p/w220_and_h330_face/CFOce6pbb3FRNaBaVdvNsCv5kR.jpg
Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,https://www.themoviedb.org/t/p/w220_and_h330_face/daSFbrt8QCXV2hSwB0hqYjbj681.jpg
Chainsaw Man,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order to pay off his crushing debts. Using his pet devil Pochita as a weapon, he is ready to do anything for a bit of cash.",https://www.themoviedb.org/t/p/w220_and_h330_face/npdB6eFzizki0WaZ1OvKcJrWe97.jpg
La Reina del Sur,"After years of blood, sweat and tears, a woman of humble origin ends up becoming a drug trafficking legend, with all that that means...",https://www.themoviedb.org/t/p/w220_and_h330_face/uBTlJDdPpRxYTfUnKw4wbuIGSEK.jpg
Cabo,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/zHq8zcFj8GjBVVa5778NR3LzoDJ.jpg
Game of Witches,"Yu Kyung is a successful woman who is proficient enough to become an executive director of Chunha Group when she started as a secretary. She recently found out her daughter is alive, so she plans to get her back and take her revenge. Meanwhile, Hye Soo is a strong girl who faces challenges head-on. She has a daughter with Ji Ho, and she would do anything for her. However, she gets tragically betrayed by Ji Ho, the love of her life, over power and money. How will those two mothers end their fierce revenge?",https://www.themoviedb.org/t/p/w220_and_h330_face/9bTjPzX48VZGalKEBI6tiknUyLI.jpg
1923,"Follow a new generation of the Dutton family during the early twentieth century when pandemics, historic drought, the end of Prohibition and the Great Depression all plague the mountain west, and the Duttons who call it home.",https://www.themoviedb.org/t/p/w220_and_h330_face/zgZRJZvZn5cpsWAB0zMUdad3iZd.jpg
Való Világ,The ValóVilág is Hungary's most popular reality show aired by RTL Klub.,https://www.themoviedb.org/t/p/w220_and_h330_face/kQ6EfC1igZRNSSsnQbLG2mrOLwj.jpg
The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,https://www.themoviedb.org/t/p/w220_and_h330_face/xf9wuDcqlUPWABZNeDKPbZUjWx0.jpg
The Witcher: Blood Origin,"More than a thousand years before the world of The Witcher, seven outcasts in the elven world unite in a blood quest against an unstoppable power.",https://www.themoviedb.org/t/p/w220_and_h330_face/vpfJK9F0UJNcAIIeC42oJyKMnZQ.jpg
Criminal Minds,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",https://www.themoviedb.org/t/p/w220_and_h330_face/7TCwgX7oQKxcWYEhSPRmaHe6ULN.jpg
Rick and Morty,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",https://www.themoviedb.org/t/p/w220_and_h330_face/cvhNj9eoRBe5SxjCbQTkh05UP5K.jpg
