Title,Description,Img_Link
The L Word: Generation Q,"In this sequel to The L Word, we continue to follow the intermingled lives of Bette Porter, Alice Pieszecki and Shane McCutcheon, along with a new generation of diverse, self-possessed LGBTQIA+ characters experiencing love, heartbreak, sex, setbacks and success in L.A.",https://www.themoviedb.org/t/p/w220_and_h330_face/riq4xVG3FflKAB7JlIQPs9bkFw5.jpg
Saint Seiya: Soul of Gold,"Transcending eternity, the 12 Gold Saints return to protect love and peace on Earth! They gave their lives to destroy the Wailing Wall to break the way for Seiya and the Saints in their battle against Hades in the Underworld! Though presumed to have perished, Aiolia and the other Gold Saints return to the beautiful earthly world of radiating luminescence! Why have these lost souls been brought back to life? Shrouded in this deep mystery, Aiolia becomes embroiled in a duel. When he burns his Cosmo to its limit…the Cloth of Leo transforms! In 2015, the Golden Cosmo is finally revived!",https://www.themoviedb.org/t/p/w220_and_h330_face/sgCONh84RIgHHbpjTYmMvqYNbRy.jpg
Star Trek: Picard,"Set twenty years after the events of Star Trek Nemesis, we follow the now-retired Admiral Picard into the next chapter of his life.",https://www.themoviedb.org/t/p/w220_and_h330_face/qGrHmHbMvodVTyxRDIxljyg4f4T.jpg
Orange Is the New Black,"A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.",https://www.themoviedb.org/t/p/w220_and_h330_face/ekaa7YjGPTkFLcPhwWXTnARuCEU.jpg
The Loud House,"Welcome to the Loud House, where life can get pretty crazy. One boy, TEN girls?! Lincoln Loud wouldn’t change it for the world!",https://www.themoviedb.org/t/p/w220_and_h330_face/vlBWeCbRHfDRk1aGS6cdsMM5Mj1.jpg
Fringe,"FBI Special Agent Olivia Dunham, brilliant but formerly institutionalized scientist Walter Bishop and his scheming, reluctant son Peter uncover a deadly mystery involving a series of unbelievable events and realize they may be a part of a larger, more disturbing pattern that blurs the line between science fiction and technology.",https://www.themoviedb.org/t/p/w220_and_h330_face/sY9hg5dLJ93RJOyKEiu1nAtBRND.jpg
Magical Girl Lyrical Nanoha,"Nanoha Takamachi decides to help a young mage named Yūno recover a set of twenty-one artifacts named the ""Jewel Seeds"".",https://www.themoviedb.org/t/p/w220_and_h330_face/quwqpXhY3cIhSuwIUKngnjsc0DI.jpg
Hellbound,"Unearthly beings deliver bloody condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of divine justice.",https://www.themoviedb.org/t/p/w220_and_h330_face/5NYdSAnDVIXePrSG2dznHdiibMk.jpg
Digimon Adventure,"While at summer camp, seven kids are transported to a strange digital world. In this new world they make friends with creatures that call themselves Digimon who were born to defend their world from various evil forces.",https://www.themoviedb.org/t/p/w220_and_h330_face/vFJAiBNUlzEVa54mXgHGumr1z1s.jpg
Captain Tsubasa,"Tsubasa Ozora loves playing football since he was a little child. After moving to the japanese town of Nankatsu together with his mother, the 11-year-old boy quickly finds friends and joins the local football team of his elementary school. Together with his newly made friends and Brazilian mentor Roberto, Tsubasa starts his exciting journey to chase after his most desired dream - one day winning the FIFA World Cup.",https://www.themoviedb.org/t/p/w220_and_h330_face/ttCqdE4RtUQ0b1LElhQlDYDnuu2.jpg
Invasion,Earth is visited by an alien species that threatens humanity’s existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.,https://www.themoviedb.org/t/p/w220_and_h330_face/7rpiHZx10Nm50AtzTUEO9eyaKdq.jpg
Barátok közt,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/rv0PBQxrdCc5ec5dbt14FAQswai.jpg
El Buki: Las letras de mi historia,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/7ldWArnkH18oBDaOosGTpcCpRAQ.jpg
The Testament of Sister New Devil,"Toujou Basara is a high school student whose father has suddenly just remarried. His father then departs overseas leaving Basara with two new beautiful step-sisters. Little does he know, his new sisters, Mio and Maria are actually the new Demon Lord and a succubus!? Almost trapped into a life of servitude, Basara forms a reverse contract by accident and ends up becoming Mio's master! Hijinks ensue as Basara finds himself in one ecchi situation after another. However, Mio's life is in danger as she is pursued by demons and heroes!",https://www.themoviedb.org/t/p/w220_and_h330_face/4yrW5uBgcx7GSehJotlxWjAD0NQ.jpg
Zootopia+,"Head back to the fast-paced mammal metropolis of Zootopia in this short-form series that dives deeper into the lives of some of the film’s most intriguing characters, including Fru Fru, the newly married arctic shrew; Gazelle’s talented tiger dancers; and the sloth full of surprises, Flash.",https://www.themoviedb.org/t/p/w220_and_h330_face/inzPPPr2BsE92m4rHhQn3sf2yPk.jpg
Asia Express,Asia Express is the romanian version of the reality show Peking Express which was created in 2004.,https://www.themoviedb.org/t/p/w220_and_h330_face/ti2AJaexcdrQsCCi5rozqVuq7sS.jpg
The Good Fight,"Picking up one year after the events of the final broadcast episode of ""The Good Wife"", an enormous financial scam has destroyed the reputation of a young lawyer, Maia Rindell, while simultaneously wiping out her mentor and godmother Diane Lockhart's savings. Forced out of her law firm, now called ""Lockhart, Deckler, Gussman, Lee, Lyman, Gilbert, Lurie, Kagan, Tannebaum & Associates"", they join Lucca Quinn at one of Chicago's preeminent law firms.",https://www.themoviedb.org/t/p/w220_and_h330_face/8qoOHOfbUbrCcHZnDVxGcwOWinV.jpg
Mentiras verdaderas,Daily interviews discussing the guest's personal lives and national contingency.,https://www.themoviedb.org/t/p/w220_and_h330_face/wKiREfORuK3omIuPHwz0MulA9.jpg
El Chapulín Colorado,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/qF8NDpVBSTDhdLlEjVAhNhfqB8K.jpg
Trace,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/p7srucCIMPIzKvvVgXQfxruQ4BA.jpg
Love Flops,"Asahi Kashiwagi lives the typical life of an average high school student — until the day a TV fortune teller’s predictions come true one after another, culminating in a series of risqué encounters! Destiny seemingly draws five beautiful girls into Asahi’s path, and soon he finds himself fielding not one, not two, but five love confessions. Asahi will need to follow his heart to find the perfect love for him, or else his love fortunes may end in one epic flail and flop.",https://www.themoviedb.org/t/p/w220_and_h330_face/oDdaWg2ROrXrpvixAN06MBiaYj.jpg
The Cuphead Show!,Follow the misadventures of the impulsive Cuphead and his cautious but persuadable brother Mugman in this animated series based on the hit video game.,https://www.themoviedb.org/t/p/w220_and_h330_face/l6nGUyxKCi7ODvyfc8qQShliVEd.jpg
Glitch,A young woman joins forces with a UFO enthusiast to investigate her boyfriend’s sudden disappearance and stumbles into a wild conspiracy.,https://www.themoviedb.org/t/p/w220_and_h330_face/dspwDOosidQT85oPDDHMM9zmaLw.jpg
Volle Kanne,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/bR7Hkts9mxOnA8D3Fzv5GnFgSV2.jpg
The Final Score,"The complicated relationship of several of the Colombian national team players with drug trafficking, one that culminated in the own goal and murder of one of the most beloved defenders in the world.",https://www.themoviedb.org/t/p/w220_and_h330_face/mAYM4n8NJXLC5no3PkkjPb1ZYBb.jpg
The Young Brewmaster's Adventure,"The story took place 20 years before the story of ""Youth Song Xing"". Baili Dongjun, who later became the number one in the world, was still the only grandson of thousands of people in Zhenxihou's mansion. Although he has a father who is outstanding in kung fu and a mother who is the daughter of the head of the Wen family, he is not good at martial arts and prefers wine. After ten years, he will be able to brew the best wine. In the end, he stole a title deed from his home and traveled hundreds of miles to open a wine shop in Chaisang City. But a long street is already full of evil stars. Only he is really a serious winemaker...",https://www.themoviedb.org/t/p/w220_and_h330_face/AwemXpAZ5iO2ePI3VclkfdiWnNv.jpg
Love in The Air,"When clouds in the sky and falling rain tease the two close friends in trouble Rain and Sky, it takes them to meet Phayu and Prapai, who are not only cunning saviours but also guys making storms in the two best friends' hearts. The war of love is about to take place in the warm spring, hot summer, lonely autumn and cold winter. How would the atmosphere of love be? Which way would their hearts wave and the air full of love take them to?",https://www.themoviedb.org/t/p/w220_and_h330_face/sPL95QpwujQnPlY7ZATqMYgZn1j.jpg
ONIMAI: I'm Now Your Sister!,"When lazy, erotic-game loving Mahiro Oyama is transformed into a girl by his younger scientist sister's experiments, he becomes determined to change back, only to recognize that with his new opportunity, he may want to turn his life around.",https://www.themoviedb.org/t/p/w220_and_h330_face/tpvVSr6ThPQFISYc9xRVR7MKjDF.jpg
The Fabulous,"Four best friends chase their dreams in the competitive world of fashion while juggling demanding jobs, romantic dilemmas and wild nights on the town.",https://www.themoviedb.org/t/p/w220_and_h330_face/1LnPNXQ8upwUT1dYX2ZopQXjmt8.jpg
La piloto,"Yolanda dreamed her entire life of being a pilot. She found a stewardess job, and an unexpected role in drug smuggling.",https://www.themoviedb.org/t/p/w220_and_h330_face/upX2fGyD4tPjJJLIOuJlB3yp2OK.jpg
Star Trek: Voyager,"Pulled to the far side of the galaxy, where the Federation is 75 years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",https://www.themoviedb.org/t/p/w220_and_h330_face/gNS5tRSG3UlXodCxznKKOKweqxh.jpg
La tormenta,"La Tormenta is a Colombian 2005 telenovela produced by RTI Colombia and broadcast by Telemundo and Caracol TV, starring Natalia Streignard and Christian Meier.",https://www.themoviedb.org/t/p/w220_and_h330_face/hvuTxg4RV6w7jgcFn95MnhiIiNh.jpg
Ich bin ein Star – Holt mich hier raus!,"A batch of more or less known celebrities, ready to expose themselves to a large amount of viewers, have to spend about two weeks in an Australian jungle camp. Each day, the viewers vote for the celebrity they would like to face a difficult task and later vote for their favorite to become the “Queen” or “King of the Jungle”. Based on the British reality television show I'm a Celebrity...Get Me Out of Here!",https://www.themoviedb.org/t/p/w220_and_h330_face/olvbxkllza9CSI6XA17mE5ig8wm.jpg
Shooter,Bob Lee Swagger is an expert marksman living in exile who is coaxed back into action after learning of a plot to kill the president.,https://www.themoviedb.org/t/p/w220_and_h330_face/oMmqtafm6Rdlka1ejJeC9BDWzyO.jpg
El Chema,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/wuA7gcwhDMbZ4Y1lscXRrgmaJIi.jpg
Re:ZERO -Starting Life in Another World-,"Natsuki Subaru, an ordinary high school student, is on his way home from the convenience store when he finds himself transported to another world. As he's lost and confused in a new world where he doesn't even know left from right, the only person to reach out to him was a beautiful girl with silver hair. Determined to repay her somehow for saving him from his own despair, Subaru agrees to help the girl find something she's looking for.",https://www.themoviedb.org/t/p/w220_and_h330_face/5MrRCj7z92YLWMXHeWKp19eJPYv.jpg
The Avengers: Earth's Mightiest Heroes,"When the powers of a single hero are not enough to save the world, the world’s greatest heroes—Iron Man, Thor, Captain America, The Hulk, Ant-Man/Giant Man and Wasp—assemble to form the Avengers.",https://www.themoviedb.org/t/p/w220_and_h330_face/eyUeOUefufuBCeih3lOi2NkFD9r.jpg
The View,"ABC Daytime's morning chatfest, currently featuring Whoopi Goldberg, Joy Behar, Sunny Hostin, Meghan McCain, and Abby Huntsman, discussing the most exciting events of the day. Hot topics in the news, the best experts in their field, celebrity interviews and general entertainment are all part of The View.",https://www.themoviedb.org/t/p/w220_and_h330_face/zn5ZtKXYo8XOoXUgtQxw7q2CjVt.jpg
Lupin the Third,"Arsene Lupin III is the grandson of the master thief Arsene Lupin. With his cohorts Daisuke Jigen and Goemon Ishikawa XIII and his love interest Fujiko Mine, he pulls off the greatest heists of all time while always escaping the grasp of Inspector Koichi Zenigata.",https://www.themoviedb.org/t/p/w220_and_h330_face/aywOqgw5opNykCW4R8os1liPVnq.jpg
Cristo y Rey,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/6LlGgySE95k9xv0hHGTjkg3lxzM.jpg
What If...?,"Taking inspiration from the comic books of the same name, each episode explores a pivotal moment from the Marvel Cinematic Universe and turns it on its head, leading the audience into uncharted territory.",https://www.themoviedb.org/t/p/w220_and_h330_face/lztz5XBMG1x6Y5ubz7CxfPFsAcW.jpg
A Predator in a Skirt,"The story begins when the reserved Shizuka attends a local mixer party but has trouble adjusting to the atmosphere. A beautiful older female college student named Ryou starts talking to her, and the pair hit it off. Shizuka goes to spend the night at Ryou's place. However, Ryou unexpectedly kisses Shizuka and pushes her down. Shizuka thinks the beautiful woman is a lesbian but soon discovers that Ryou is actually a man dressed as a woman.",https://www.themoviedb.org/t/p/w220_and_h330_face/5o2TArFnXPzBvLdH97AOnJCfwW0.jpg
Crash Landing on You,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",https://www.themoviedb.org/t/p/w220_and_h330_face/bXo9sDqMmo4dEOPSPLR7sdYPTvz.jpg
Star Trek: Strange New Worlds,"Follow Christopher Pike, Spock and Number One in the years before Captain Kirk boarded the U.S.S. Enterprise, as they explore new worlds around the galaxy. This show is a prequel to the original series and Star Trek: Discovery.",https://www.themoviedb.org/t/p/w220_and_h330_face/iwIdajr5Y4zq2ibvq75VnDAJBr.jpg
Junji Ito Maniac: Japanese Tales of the Macabre,"From the mind of horror manga maestro Junji Ito comes a spine-tingling selection of some of his most bizarre, disturbing and terrifying tales.",https://www.themoviedb.org/t/p/w220_and_h330_face/eE3vyu2F8upsQujhS8IP7QiG8Hm.jpg
Oh Hell,"Follow Helene, who is in her mid-twenties and who is not nicknamed “Hell” for nothing. Her life is anything but relaxed, Helen jumps from one job to the next and privately she keeps stumbling into big and small blunders. Sometimes she wishes she were like her best friend Maike, who travels the world and has already had some success professionally. When she meets the cello teacher Oskar, something like consistency seems to develop for the first time. But can ""Hell"" lead a quiet and happy life - and does she even want it?",https://www.themoviedb.org/t/p/w220_and_h330_face/o0EI6nLIOEnOLsAw9g0mNO6CV2v.jpg
Saint Seiya Omega,A spin-off based on the Saint Seiya series.,https://www.themoviedb.org/t/p/w220_and_h330_face/qjgGUtZsosDehY49oshGU72TwTa.jpg
Law & Order: Criminal Intent,The third installment of the “Law & Order” franchise takes viewers deep into the minds of its criminals while following the intense psychological approaches the Major Case Squad uses to solve its crimes.,https://www.themoviedb.org/t/p/w220_and_h330_face/mwynkwd6jql0qamRW6i5Dv6aZ4k.jpg
Initial D,"Takumi’s job as a tofu delivery boy has turned him into one of the most formidable drivers around. Behind the wheel of his Eight-Six, he’s one with the road—and his life shifts into high gear when the underground street racing world takes notice. Drivers from across the region are lining up for a shot at the new guy. Takumi’s not just focused on winning—he’s out to prove he’s the best.",https://www.themoviedb.org/t/p/w220_and_h330_face/ewE8rov12DWVHtGpMRrYky6CAjX.jpg
What's My Line?,"Four panelists must determine guests' occupations - and, in the case of famous guests, while blindfolded, their identity - by asking only ""yes"" or ""no"" questions.",https://www.themoviedb.org/t/p/w220_and_h330_face/A9T7xSQFnlxFgZkqC4lmHYPXhq4.jpg
White Collar,"Neal Caffrey, a con man, forger and thief, is captured after a three-year game of cat and mouse with the FBI. With only months left serving a four-year sentence, he escapes to look for Kate, his girlfriend. Peter Burke, the FBI agent who initially captured Caffrey, finds and returns him to prison. This time, Caffrey proposes a deal with the FBI, as part of a work-release program. After some hesitation, Burke agrees, and thus begins this unconventional arrangement where Caffrey helps Burke apprehend white collar criminals.",https://www.themoviedb.org/t/p/w220_and_h330_face/417XNiGvdzCsG9kDnnQJYaBsIrx.jpg
Acapulco Shore,A reality-based look at the vapid lives of several Mexican 20-somethings and their respective friends and/or hook-ups during their stay in Acapulco for a Summer vacation.,https://www.themoviedb.org/t/p/w220_and_h330_face/fSRyd3ZNZY41awncagc8oqV739M.jpg
Carita de Ángel,"Carita de Angel is a child telenovela produced in Mexico by Televisa in 2000 produced by Nicandro Díaz. It is a remake of the telenovela Papa Corazon, which also was adapted for Mundo de juguete. It starred Lisette Morelos, Miguel de León and Daniela Aedo as Dulce Maria. In 2001 it was broadcast in the United States by the Spanish-language broadcaster Univision. Among the great figures of his cast were Mexicans Joaquín Cordero and Ana Luisa Peluffo and Argentine Libertad Lamarque, who died during the filming of this soap opera and was replaced by actress Silvia Pinal.",https://www.themoviedb.org/t/p/w220_and_h330_face/sTiuV6vIkotMUhKH7HUTXhqE9zd.jpg
Stargate Atlantis,"With the Ancients' city of Atlantis discovered in the Pegasus Galaxy by Stargate Command, Dr. Elizabeth Weir and Major Sheppard lead a scientific expedition to the ancient abandoned city. Once there, the team not only find themselves unable to contact Earth, but their explorations unexpectedly reawaken the Ancients' deadly enemies, The Wraith, who hunger for this new prey. Now with the help of newfound local allies like Teyla Emmagan, the Atlantis Team sets about to uncover their new home's secrets even as their war of survival against the Wraith begins.",https://www.themoviedb.org/t/p/w220_and_h330_face/l0JYr2iqwId6VOmCV8dHzlIM6Wd.jpg
Rebelde,Head back to Elite Way School as a new generation of students hope to win the Battle of the Bands.,https://www.themoviedb.org/t/p/w220_and_h330_face/b1IBsimEJOLjBLYsdBZ1VAcmq73.jpg
All American,"When a rising high school football player from South Central L.A. is recruited to play for Beverly Hills High, the wins, losses and struggles of two families from vastly different worlds - Compton and Beverly Hills - begin to collide. Inspired by the life of pro football player Spencer Paysinger.",https://www.themoviedb.org/t/p/w220_and_h330_face/bpmZDwQfUPVKCLfIivbWnJQT6wU.jpg
Cars on the Road,Lightning McQueen and his best friend Mater head east from Radiator Springs on a cross-country road trip to meet up with Mater’s sister.,https://www.themoviedb.org/t/p/w220_and_h330_face/uT3bmwLIvnYyjLVnnlVoTI3OQUr.jpg
Monogatari,"Although there are still traces of the brief period he became a vampire, third-year high school student Koyomi Araragi is human again. He happens upon others with their own supernatural problems and finds that he can empathize. Koyomi becomes involved in their lives, seeking to help them and occasionally asking for advice from Meme Oshino, the homeless man who helped him become human again.",https://www.themoviedb.org/t/p/w220_and_h330_face/zCEjjb1NH3LLsWeZx47wOeqkezf.jpg
Chepe Fortuna,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/sadcGjMeSHT8WFH4TlYWrgT2R29.jpg
Teen Titans,"The Teen Titans are five heroes under one roof. Their names: Robin, Starfire, Raven, Cyborg, and Beast Boy They live in a large tower in the shape of a T that they call Titan Tower. No secret identities. No school. Just superheroes being superheroes. They must go up against their arch nemesis, Slade, and his evil minions. What he really plans to do is unknown but one thing's for sure... he's an evil madman.",https://www.themoviedb.org/t/p/w220_and_h330_face/gxe4wIp3kYfw4QSkLMt99HfLkok.jpg
Cheyenne,"Cheyenne is an American western television series of 108 black-and-white episodes broadcast on ABC from 1955 to 1963. The show was the first hour-long western, and in fact the first hour-long dramatic series of any kind, with continuing characters, to last more than one season. It was also the first series to be made by a major Hollywood film studio which did not derive from its established film properties, and the first of a long chain of Warner Brothers original series produced by William T. Orr.",https://www.themoviedb.org/t/p/w220_and_h330_face/osdglTGStAMbThkUsVJ0DRzvwrq.jpg
Devil in Ohio,"Determined to protect a young patient who escaped a mysterious cult, a psychiatrist takes the girl in, putting her own family — and life — in danger.",https://www.themoviedb.org/t/p/w220_and_h330_face/AsdjYB61U8zVAsEyQgOebAjCoUN.jpg
Summer Time Rendering,"Upon hearing of Ushio's death, Shinpei returns to his hometown of Wakayama City on Hitogashima and reunites with his childhood friend's family. The funeral goes smoothly, but under the surface something strange is brewing on the island. What mysteries await him on this secluded summer island?",https://www.themoviedb.org/t/p/w220_and_h330_face/9qFqCxPr1ebHbOmZ1vEmPAHLIM4.jpg
The Mole,"Players working as a team complete a series of difficult physical and psychological tests, each worth a set amount of money. One of the players, however, is a ""Mole"" or saboteur, whose goal is to foil the efforts of the other players without revealing his or her identity. At the end of each episode, the group is given a quiz on The Mole's identity. The player who knows the least information about The Mole is then immediately sent home. In the final episode, The Mole is revealed and the one remaining player wins the jackpot, up to $1,000,000.",https://www.themoviedb.org/t/p/w220_and_h330_face/dmnT9QGvODH5RBlRYs4A3ztEMGU.jpg
"Why the Hell are You Here, Teacher!?","Ichiro Sato is about as average as a student can get… except for his above-average ability to land himself in totally awkward, intensely risqué situations with his no-nonsense teacher, Kana Kojima! Ichiro has his hands full dealing with these steamy shenanigans and unexpected encounters in the most unlikely places. At least it can’t get any worse, right?",https://www.themoviedb.org/t/p/w220_and_h330_face/1yss3gl6mMNT9Txvdtvnu2KTWt9.jpg
The Colbert Report,"The Colbert Report is an American satirical late night television program that airs Monday through Thursday on Comedy Central. It stars political humorist Stephen Colbert, a former correspondent for The Daily Show with Jon Stewart. The Colbert Report is a spin-off from and counterpart to The Daily Show that comments on politics and the media in a similar way. It satirizes conservative personality-driven political pundit programs, particularly Fox News' The O'Reilly Factor. The show focuses on a fictional anchorman character named Stephen Colbert, played by his real-life namesake. The character, described by Colbert as a ""well-intentioned, poorly informed, high-status idiot"", is a caricature of televised political pundits.",https://www.themoviedb.org/t/p/w220_and_h330_face/pn2CVXjOlR8kY5MgOTJjZ71IM0Q.jpg
La familia P. Luche,A family that deals with the conflicts and problems of daily life but in a comical and exaggerated way with the particularity that they live in a city that is built entirely of stuffed animals and with all the stuffed accessories.,https://www.themoviedb.org/t/p/w220_and_h330_face/zBajkGhOB2FsVVhp4uagcy5dyLn.jpg
The Envoys,Two Vatican officials with very different conceptions of what faith is are sent to different parts of the world to investigate and verify the veracity of alleged miracles and healings attributed to members of the church.,https://www.themoviedb.org/t/p/w220_and_h330_face/z8mY0ZmsaFMKk5YVfvMtGxAuT62.jpg
iZombie,"A medical student who becomes a zombie joins a Coroner's Office in order to gain access to the brains she must reluctantly eat so that she can maintain her humanity. But every brain she eats, she also inherits their memories and must now solve their deaths with help from the Medical examiner and a police detective.",https://www.themoviedb.org/t/p/w220_and_h330_face/q4nqNwAhzVR7JuYctrWJvUWz3xR.jpg
The Kapil Sharma Show,"Comedian Kapil Sharma interacts with celebrity guests about their latest films while keeping the audience laughing with his wit, humour and assorted skits.",https://www.themoviedb.org/t/p/w220_and_h330_face/fBPNBNFmcwhYXUpkW2Kb6jbeJOR.jpg
Godfather of Harlem,"Loosely based on infamous crime boss Bumpy Johnson, who in the early 1960s returned from ten years in prison to find the neighborhood he once ruled in shambles. With the streets controlled by the Italian mob, Bumpy attempts to regain his piece of Harlem.",https://www.themoviedb.org/t/p/w220_and_h330_face/tnZYXHT6d0PY05RkXeiTSb5WFSO.jpg
Young Justice,Teenage superheroes strive to prove themselves as members of the Justice League.,https://www.themoviedb.org/t/p/w220_and_h330_face/y6oejQ0RGFZYILobsvze8F0xWEY.jpg
Surviving Escobar - Alias JJ,"As the Medellín Cartel crumbles, Pablo Escobar's No. 1 hit man struggles to stay alive and gain respect in the prison hierarchy.",https://www.themoviedb.org/t/p/w220_and_h330_face/97xpke32aNz0XSl6OHLilu9GK63.jpg
"El Rey, Vicente Fernández","In this captivating period series, the life and career of Mexican singer Vicente Fernández is dramatized like never before.",https://www.themoviedb.org/t/p/w220_and_h330_face/47leR43QzwZGcrtLo5ssRCP0Nz8.jpg
Ben 10: Ultimate Alien,"With his secret identity now revealed to the world, Ben Tennyson continues to fight evil as a superhero with the help of the newly acquired Ultimatrix.",https://www.themoviedb.org/t/p/w220_and_h330_face/n4KwrlUKO9S4GvOdZzmnz4zOxx7.jpg
Poong The Joseon Psychiatrist,"The successful doctor Yoo Sepoong becomes entangled in a conspiracy and is kicked out of the palace. He meets Jihan in Gyesu village and learns to treat those who suffer psychological illness. Finding the cause of their heartbroken feelings and writing a prescription for happiness with Eunwoo, Sepoong grows up as a true psychiatrist.",https://www.themoviedb.org/t/p/w220_and_h330_face/4pyrc2PpzvBGYh2ZDqFmn5OASds.jpg
New Girl,"Jessica Day is an offbeat and adorable girl in her late 20s who, after a bad breakup, moves in with three single guys. Goofy, positive, vulnerable and honest to a fault, Jess has faith in people, even when she shouldn't. Although she's dorky and awkward, she's comfortable in her own skin. More prone to friendships with women, she's not used to hanging with the boys—especially at home.",https://www.themoviedb.org/t/p/w220_and_h330_face/v5S58vtEV0fM0Chf9Pws9yfXOXT.jpg
Blutige Anfänger,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/sF6iPbcvn7pTvkVGLte2lLYlC5N.jpg
Downton Abbey,A chronicle of the lives of the aristocratic Crawley family and their servants in the post-Edwardian era—with great events in history having an effect on their lives and on the British social hierarchy.,https://www.themoviedb.org/t/p/w220_and_h330_face/3mYwiv6rsnEHnbark7a24Jbx2M9.jpg
The Queen's Gambit,"In a Kentucky orphanage in the 1950s, a young girl discovers an astonishing talent for chess while struggling with addiction.",https://www.themoviedb.org/t/p/w220_and_h330_face/zU0htwkhNvBQdVSIKB9s6hgVeFK.jpg
The Tom and Jerry Show,The New Tom & Jerry Show is an animated television series produced for Saturday mornings by Hanna-Barbera Productions in association with Metro-Goldwyn-Mayer Television in 1975 for ABC based on the theatrical shorts and characters Tom and Jerry.,https://www.themoviedb.org/t/p/w220_and_h330_face/xPCQP3IiOHEtlHOz7twuVK51Kbs.jpg
iCarly,"Ten years after signing off of one of TV's most iconic shows, Carly, Spencer, and Freddie are back, navigating the next chapter of their lives, facing the uncertainties of life in their twenties.",https://www.themoviedb.org/t/p/w220_and_h330_face/fb1xE9XHRwX9FK7UiVJDepQKo26.jpg
Conversations with a Killer: The John Wayne Gacy Tapes,He dined with the powerful. He preyed on the vulnerable. Beneath a smiling exterior was the horrifying darkness of a sadistic serial killer.,https://www.themoviedb.org/t/p/w220_and_h330_face/dc9IY0ZT2T3gw0RfjmQdsoWp992.jpg
KonoSuba – God's blessing on this wonderful world!!,"After a traffic accident, Kazuma Sato’s disappointingly brief life was supposed to be over, but he wakes up to see a beautiful girl before him. She claims to be a goddess, Aqua, and asks if he would like to go to another world and bring only one thing with him. Kazuma decides to bring the goddess herself, and they are transported to a fantasy world filled with adventure, ruled by a demon king. Now Kazuma only wants to live in peace, but Aqua wants to solve many of this world’s problems, and the demon king will only turn a blind eye for so long…",https://www.themoviedb.org/t/p/w220_and_h330_face/oRaOeQlwktbGSd2T31FYAcgHZlh.jpg
Heartstopper,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,https://www.themoviedb.org/t/p/w220_and_h330_face/wJJt1HG62h3WoGnLcRIbO2nNNkg.jpg
Nintama Rantarō,"Rantarō, Shinbei and Kirimaru are ninja apprentices in the Ninja Gakuen, where first grade ones are called ""Nintamas"". They must learn everything a ninja must know, but as for our heroes, money, food or playing are more interesting. The series show the everyday adventures of our heroes.",https://www.themoviedb.org/t/p/w220_and_h330_face/fzNiSp0HhCthOTYu9IYWlPPa7fU.jpg
Knight Rider,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",https://www.themoviedb.org/t/p/w220_and_h330_face/t57NXzTrwp5rnPXiaX4BThrDxt1.jpg
The Pit,"When a mafia family named Koçovars are in danger of losing control of their neighborhood, “The Pit,” their youngest son must come back home, a place he could never truly escape.",https://www.themoviedb.org/t/p/w220_and_h330_face/fBXDSBDw5Zug6E2xTB265LzYVKz.jpg
The Crimson Rivers,"Old-school police detective Pierre Niemans and his former student Camille Delaunay tackle complex, brutal murder cases.",https://www.themoviedb.org/t/p/w220_and_h330_face/ahVy85IlUQagmFkQrJxiJE8ZMC4.jpg
